timestamp,machine_id,cycle_time_sec,Temperature_C,Vibration_mms,Sound_dB,Oil_Level_pct,Coolant_Level_pct,Hydraulic_Pressure_bar,Coolant_Flow_L_min,Heat_Index,Power_Consumption_kW,Operational_Hours,Error_Codes_Last_30_Days,Remaining_Useful_Life_days,predicted_failure_probability,sensor_anomaly_score,AI_Override_Events,Failure_Within_7_Days
2026-01-01 06:00:00,M03,45.52,65.37,1.92,78.94,84.57,99.71,127.12,35.63,78.93,56.45,1000.0,2.0,271.0,0.0,0.62,3.0,0.0
2026-01-01 06:05:00,M03,47.96,72.62,2.61,67.93,98.4,69.78,115.02,30.88,68.75,44.73,1001.0,2.0,92.0,0.5,0.917,3.0,
2026-01-01 06:10:00,M01,47.42,74.04,1.56,77.69,73.4,72.83,126.42,33.43,66.93,32.21,1002.01,7.0,40.0,0.5,0.464,0.0,1.0
2026-01-01 06:15:00,M04,44.28,64.17,2.17,79.25,83.13,70.72,137.45,,63.49,46.26,1003.01,4.0,283.0,0.33,0.104,3.0,0.0
2026-01-01 06:20:00,M02,41.7,64.23,2.55,87.85,80.24,81.57,127.67,32.31,84.32,50.73,1004.01,7.0,243.0,0.17,0.458,0.0,0.0
2026-01-01 06:25:00,M04,43.61,69.59,2.04,71.88,88.38,56.38,113.71,27.63,76.27,39.43,1005.02,3.0,37.0,0.67,0.376,2.0,1.0
2026-01-01 06:30:00,M04,43.8,68.41,2.7,75.08,81.62,70.01,112.87,29.13,63.93,42.91,1006.02,,261.0,0.83,0.578,1.0,1.0
2026-01-01 06:35:00,M02,46.26,61.46,2.93,75.39,74.19,72.26,118.69,32.33,78.79,38.86,1007.02,5.0,262.0,0.5,0.439,3.0,1.0
2026-01-01 06:40:00,M02,45.92,70.27,2.77,78.49,70.68,71.39,136.69,40.46,80.71,41.76,1008.03,5.0,1232.7397260273972,0.83,0.017,1.0,1.0
2026-01-01 06:45:00,M02,53.7,63.83,1.57,79.4,84.88,71.29,108.69,31.97,69.83,40.34,1009.03,,184.0,0.5,0.994,3.0,
2026-01-01 06:50:00,M03,45.2,64.0,2.55,80.3,71.33,70.11,125.88,29.94,67.25,,1010.03,3.0,203.0,,0.544,3.0,1.0
2026-01-01 06:55:00,M02,46.8,,2.59,79.94,89.47,82.77,96.56,25.84,62.06,56.61,1011.04,2.0,189.0,,0.474,0.0,0.0
2026-01-01 07:00:00,M02,45.36,62.59,2.27,67.59,84.43,80.38,128.92,34.48,75.66,,1012.04,3.0,224.0,0.17,0.955,3.0,0.0
2026-01-01 07:05:00,M04,43.37,65.76,2.69,61.93,80.69,92.03,131.28,28.32,66.58,34.21,,5.0,212.0,0.33,0.156,2.0,0.0
2026-01-01 07:10:00,M04,46.77,67.38,2.67,72.43,69.5,82.8,150.41,31.87,66.25,62.71,1014.05,,259.0,0.33,0.189,1.0,0.0
2026-01-01 07:15:00,M01,42.9,71.54,2.45,74.82,85.4,64.02,133.88,33.51,69.91,49.08,,4.0,266.0,,0.808,3.0,1.0
2026-01-01 07:20:00,M04,44.71,70.99,1.9,71.93,92.93,73.3,113.98,36.32,63.46,50.51,,4.0,84.0,0.5,0.261,1.0,1.0
2026-01-01 07:25:00,M02,50.8,67.14,2.48,72.7,76.6,72.24,96.98,34.21,82.23,44.55,1017.06,5.0,211.0,0.5,0.799,1.0,1.0
2026-01-01 07:30:00,M03,42.57,44.13,3.62,73.32,74.06,77.55,127.71,23.88,77.74,46.63,1018.06,3.0,151.0,0.5,0.272,1.0,1.0
2026-01-01 07:35:00,M04,46.94,66.95,2.26,77.89,79.26,85.93,115.09,21.41,70.61,42.61,1019.06,4.0,215.0,0.17,0.033,3.0,0.0
2026-01-01 07:40:00,M04,32.59,68.18,3.13,69.83,83.74,76.86,125.01,,63.19,51.33,1020.07,2.0,208.0,0.33,0.517,0.0,0.0
2026-01-01 07:45:00,M02,44.07,69.81,2.52,74.61,75.75,76.88,109.2,30.43,63.62,41.66,1021.07,4.0,180.0,0.67,0.197,1.0,1.0
2026-01-01 07:50:00,M04,42.54,57.35,2.02,74.65,,75.1,117.4,31.96,63.27,48.43,1022.07,3.0,237.0,0.17,0.758,1.0,0.0
2026-01-01 07:55:00,M04,45.6,48.02,2.32,77.77,95.29,83.11,94.5,38.6,60.15,51.79,1023.08,5.0,188.0,0.33,0.641,,0.0
2026-01-01 08:00:00,M02,43.82,71.45,2.49,80.81,82.64,69.31,104.31,26.92,72.58,413.183125,1024.08,2.0,284.0,0.5,0.924,3.0,1.0
2026-01-01 08:05:00,M04,45.71,55.2,2.89,83.42,77.4,60.43,102.19,,64.86,52.22,1025.08,2.0,71.0,3.5823487544483985,0.783,2.0,1.0
2026-01-01 08:10:00,M03,43.11,74.78,3.93,71.27,83.52,81.45,,26.97,64.4,37.83,1026.09,4.0,213.0,0.5,0.181,2.0,1.0
2026-01-01 08:15:00,M01,46.93,60.37,2.53,65.0,89.42,78.75,107.59,37.83,63.49,56.01,1027.09,3.0,142.0,,0.8,0.0,0.0
2026-01-01 08:20:00,M04,36.43,56.78,1.76,73.79,81.28,,140.67,33.75,78.03,49.65,1028.09,4.0,81.0,0.17,0.642,,0.0
2026-01-01 08:25:00,M03,45.56,67.8,1.51,67.06,83.88,50.72,107.74,22.46,63.93,47.14,1029.1,6.0,87.0,0.5,0.669,0.0,1.0
2026-01-01 08:30:00,,40.31,69.93,2.25,88.67,85.64,74.0,151.44,27.91,80.15,47.95,1030.1,0.0,198.0,0.17,0.832,0.0,0.0
2026-01-01 08:35:00,M01,50.84,69.45,1.82,70.64,73.0,,90.77,39.58,67.7,43.89,1031.1,7.0,80.0,0.67,,1.0,1.0
2026-01-01 08:40:00,M02,40.23,69.01,,77.82,83.67,59.89,126.36,38.95,60.04,41.73,1032.11,5.0,272.0,3.5823487544483985,0.466,3.0,1.0
2026-01-01 08:45:00,M01,49.98,452.4973144876325,2.84,79.67,69.26,74.13,120.58,33.02,73.75,42.42,1033.11,6.0,55.0,,0.637,2.0,1.0
2026-01-01 08:50:00,M04,44.94,52.78,2.41,76.7,74.73,86.87,101.83,31.77,77.1,54.02,1034.11,7.0,233.0,0.5,0.298,1.0,1.0
2026-01-01 08:55:00,M01,35.86,61.88,2.89,85.38,89.17,95.86,111.74,31.2,63.14,45.57,,0.0,259.0,0.33,0.183,3.0,0.0
2026-01-01 09:00:00,M01,,55.83,2.54,73.99,86.97,,116.08,32.19,70.51,46.97,1036.12,2.0,85.0,0.0,0.617,,0.0
2026-01-01 09:05:00,M02,49.24,68.46,3.62,,77.84,71.76,123.75,29.3,72.55,45.42,1037.12,4.0,83.0,,0.234,1.0,1.0
2026-01-01 09:10:00,M04,48.96,71.99,2.88,70.57,93.65,87.62,105.95,36.06,70.77,40.32,1038.13,0.0,151.0,0.5,0.08,1.0,1.0
2026-01-01 09:15:00,M01,38.5,66.38,3.04,78.75,69.52,84.11,126.38,32.89,66.33,29.97,1039.13,1.0,82.0,0.33,0.001,2.0,0.0
2026-01-01 09:20:00,M01,52.81,64.99,1.63,74.05,78.36,70.16,121.8,25.17,77.05,50.38,1040.13,0.0,111.0,0.17,0.608,0.0,0.0
